우선순위,대상 제품,현재 보유 자료,제조사 요청 자료,필요한 이유,희망 형식
필수,전체 제품,2026 종합 카탈로그와 제품별 자료 일부,"현재 판매·단종·대체 모델 목록, 최신 모델명과 주문 SKU",웹사이트 제품 상태를 정확히 표시하기 위해 필요함,XLSX 또는 CSV
필수,전체 제품,카탈로그 추출 이미지와 일부 원본 사진,"제품별 정면·후면·좌우면 고해상도 누끼 이미지, 장착 상태 사진",장비 카드와 비교표에 사용함,"PNG 투명 배경, 가로 2000px 이상"
필수,전체 제품,PDF와 DOCX가 혼재함,"최신 국문·영문 매뉴얼, 데이터시트, 카탈로그와 문서 개정 이력",최신 사양과 문서 버전을 구분함,검색 가능한 PDF
필수,전체 제품,공개 범위를 확인하지 못함,로고·제품 사진·도면·매뉴얼의 웹사이트 게시 허가 범위,GitHub Pages 공개 전 사용 범위를 확인함,공문 또는 이메일 승인
필수,XDM,"XDM-12/36 원본 사진, 통합 매뉴얼","XDM-20/72/144/216/288 전·후면 사진과 후면 도면",모델별 실제 슬롯 위치와 외형을 표시함,"PNG/JPG, PDF 또는 DWG"
필수,XDM-288,라인업 이름만 확인함,"입출력 슬롯 수, 슬롯 번호·방향, 전원·제어부, 크기·무게, 후면 도면",XDM-288 구성기를 추정 없이 구현함,데이터시트와 도면 PDF
필수,XDM 카드 전체,카드당 포트 수와 기본 기능,"섀시별 허용 카드, 슬롯 점유 수, 최대 장착 수, 금지 조합, Hot-Swap 조건",구성기 호환성 검증에 사용함,호환표 XLSX/PDF
필수,XDM-HOS100·WOS100,Quad 전환·Wall Overlay 기본 설명,"모드별 입력 수, 출력 수, 레이어 수, 동시 사용 제한, 해상도 제약",4 Layer와 월 프로세서 기능을 정확하게 안내함,기능표와 구성 예시 PDF
필수,SPX 전체,M810 매뉴얼과 일부 모델 사진,"M1620/M3236/M2472/M24120 최신 매뉴얼, 전·후면 사진과 후면 도면",모든 SPX 모델을 같은 수준으로 표시함,"PDF, PNG/JPG"
필수,SPX 카드,HIS8/HOS10/HOS12/COS12 기본 포트 수,"프레임별 카드 허용·혼합 규칙, 물리 슬롯 수·번호, 최대 출력 제한",SPX 구성기와 BOM 계산에 사용함,호환표 XLSX/PDF
필수,VDM 전체,통합 매뉴얼과 VDM-48X 사진,"8X/16X/32X/48X/64X/80X/128X/180X/288X 전·후면 사진과 슬롯 도면",프레임별 실제 후면과 슬롯을 구현함,"PNG/JPG, PDF 또는 DWG"
필수,VDM 카드·전송기,기본 사양과 계열 정보,"CIS4-U/COS4-U와 CT/CR, FIS4-U/FOS4-U와 FT/FR의 공식 호환표",잘못된 자동 연결을 방지함,호환표 XLSX/PDF
필수,VDM 전송기,일부 표의 신호 방향·해상도 충돌,"FR101-U/FR102-U/FR103-U 입출력 방향 정정, CT103-U-H 해상도 확인",카탈로그 충돌을 해소함,정정 데이터시트 또는 공문
높음,일체형·소형 매트릭스,매뉴얼과 일부 카탈로그,"최신 제품 사진, 매뉴얼, 펌웨어 버전, 명령어 문서",제품 비교와 상세 보기에 사용함,"PNG/JPG, PDF"
높음,HDMI 분배기·선택기,일부 매뉴얼과 사진,"모델별 최신 매뉴얼, 전·후면 사진, EDID 모드표",제품 비교표에 사용함,"PNG/JPG, PDF"
높음,CAT·광 전송기 전체,일부 매뉴얼과 카탈로그,"TX/RX 역할, 전원 공급·수전, 케이블 종류, 최대 거리, 포함 어댑터",신호 흐름도와 필수 액세서리 BOM에 사용함,XLSX/PDF
높음,케이블 전체,제품별 카탈로그,"길이별 SKU, 커넥터 방향, 최소 굽힘 반경, 인장력, 플래넘·인증 정보",케이블 비교와 BOM에 사용함,"XLSX/PDF, 인증서 PDF"
